"model","moderator","path","high","low","diff"
"M1","Narcissism","Autocratic->BE->THR",-0.0418218654779198,-0.0359571375725288,-0.00586472790539102
"M1","Narcissism","Autocratic->BE->OCBS",-0.0277757180944618,-0.023981096533911,-0.0037946215605508
"M1","Narcissism","Autocratic->BE->CWBS",0.157513132955832,0.136074270976717,0.0214388619791146
"M1","PowerDistance","Autocratic->BE->THR",-0.0406809828288545,-0.0374128430938221,-0.00326813973503239
"M1","PowerDistance","Autocratic->BE->OCBS",-0.0268468917271541,-0.0246956615192644,-0.0021512302078897
"M1","PowerDistance","Autocratic->BE->CWBS",0.153059741663876,0.140772182310773,0.0122875593531031
"M1","Narcissism","Empowering->BE->THR",0.0427422269985185,0.0384872009434343,0.00425502605508423
"M1","Narcissism","Empowering->BE->OCBS",0.0282718922188431,0.0253653855861588,0.00290650663268427
"M1","Narcissism","Empowering->BE->CWBS",-0.15952805939474,-0.143949657270697,-0.0155784021240424
"M1","PowerDistance","Empowering->BE->THR",0.0300539073495469,0.0513636431535977,-0.0213097358040508
"M1","PowerDistance","Empowering->BE->OCBS",0.0195361993564677,0.0333928277012702,-0.0138566283448025
"M1","PowerDistance","Empowering->BE->CWBS",-0.11222011777727,-0.191897031077579,0.0796769133003088
"M1","Narcissism","Autocratic->ME->THR",-0.0777448650635578,-0.0742182546097355,-0.00352661045382225
"M1","Narcissism","Autocratic->ME->OCBS",-0.0254675014035193,-0.0243181260921192,-0.00114937531140008
"M1","Narcissism","Autocratic->ME->CWBS",0.0325535637177733,0.0310244355089755,0.00152912820879772
"M1","PowerDistance","Autocratic->ME->THR",-0.0607805414161855,-0.0924667382472062,0.0316861968310208
"M1","PowerDistance","Autocratic->ME->OCBS",-0.0195052520640312,-0.0297587598083534,0.0102535077443223
"M1","PowerDistance","Autocratic->ME->CWBS",0.0251217999542008,0.0383778131756484,-0.0132560132214475
"M1","Narcissism","Empowering->ME->THR",0.040870387840892,0.0558758216445226,-0.0150054338036306
"M1","Narcissism","Empowering->ME->OCBS",0.0134011134579627,0.0183906786762521,-0.00498956521828945
"M1","Narcissism","Empowering->ME->CWBS",-0.0168598323627356,-0.0230272296860811,0.00616739732334546
"M1","PowerDistance","Empowering->ME->THR",0.0464417390214308,0.0500228240927973,-0.00358108507136644
"M1","PowerDistance","Empowering->ME->OCBS",0.0149556625394376,0.0161039326387974,-0.0011482700993598
"M1","PowerDistance","Empowering->ME->CWBS",-0.0193315840235273,-0.0207787881336656,0.00144720411013832
"M2","Narcissism","Autocratic->BE->THR",-0.0574131485130137,-0.0500660629876267,-0.007347085525387
"M2","Narcissism","Autocratic->BE->OCBS",-0.0311864190980822,-0.0272720208651682,-0.00391439823291393
"M2","Narcissism","Autocratic->BE->CWBS",0.157073216681193,0.13760514921923,0.0194680674619628
