"model","path","est","lo","hi"
"M1","Autocratic->BE->THR",-0.0983389891334795,-0.142309355956148,-0.0596728201137101
"M1","Autocratic->BE->OCBS",-0.141003919230177,-0.207342417311013,-0.084349763705512
"M1","Autocratic->BE->CWBS",0.104721383140601,0.0565428479343982,0.161652970408013
"M1","Autocratic->BE->THR",-0.0985036079314813,-0.142984977459273,-0.0603272632232636
"M1","Autocratic->BE->OCBS",-0.141359278632656,-0.207616826165395,-0.0832621734312551
"M1","Autocratic->BE->CWBS",0.104986226655381,0.055794615699582,0.160978792088767
"M1","Empowering->BE->THR",0.103932717362653,0.0643922267486324,0.14815242312118
"M1","Empowering->BE->OCBS",0.148688063433707,0.0890969853254172,0.215227263030675
"M1","Empowering->BE->CWBS",-0.111077078423446,-0.168119764656328,-0.0603428849656852
"M1","Empowering->BE->THR",0.103991595153609,0.0646144635414503,0.148380915710664
"M1","Empowering->BE->OCBS",0.149057455351542,0.0888498995804279,0.217089737158695
"M1","Empowering->BE->CWBS",-0.110569450283509,-0.167637251297565,-0.059837727373499
"M1","Autocratic->ME->THR",-0.0783941909445832,-0.124129610435928,-0.0372861251495778
"M1","Autocratic->ME->OCBS",-0.0972333040357241,-0.165507120683363,-0.0364539094586716
"M1","Autocratic->ME->CWBS",0.10474909281383,0.0483014229757845,0.167319421346344
"M1","Autocratic->ME->THR",-0.07849211807252,-0.124370382454036,-0.0369552669508265
"M1","Autocratic->ME->OCBS",-0.0974967307432906,-0.166589709067344,-0.0350475883247482
"M1","Autocratic->ME->CWBS",0.104748291775288,0.0486042450896649,0.16683231794483
"M1","Empowering->ME->THR",0.0551334717904192,0.0258524674600045,0.0898646739455964
"M1","Empowering->ME->OCBS",0.0684716377917208,0.0237551511068696,0.119306757360437
"M1","Empowering->ME->CWBS",-0.0736818266604415,-0.120407166992842,-0.0327888234354287
"M1","Empowering->ME->THR",0.0549701816569524,0.0248862380245684,0.0896297377217153
"M1","Empowering->ME->OCBS",0.0688496383124067,0.024085468500454,0.11930590097925
"M1","Empowering->ME->CWBS",-0.0738300310749891,-0.120987344873651,-0.0329806879528315
"M2","Autocratic->BE->THR",-0.118726301857541,-0.167683649834971,-0.0763841255464227
"M2","Autocratic->BE->OCBS",-0.145349799767995,-0.21274297961286,-0.0870048038758352
"M2","Autocratic->BE->CWBS",0.107373459430943,0.0586433985440789,0.163581477353354
"M2","Autocratic->BE->THR",-0.118406037091908,-0.167033823089536,-0.0756933778360741
"M2","Autocratic->BE->OCBS",-0.145400473977429,-0.212890695558666,-0.0862799603839042
"M2","Autocratic->BE->CWBS",0.106870171681724,0.0580471728716139,0.163208501542442
"M2","Empowering->BE->THR",0.126035255191929,0.0825345733420994,0.175442011047213
"M2","Empowering->BE->OCBS",0.154015298741554,0.0939109422280691,0.222376348538452
"M2","Empowering->BE->CWBS",-0.113510090246763,-0.170718007974693,-0.0625144832369296
"M2","Empowering->BE->THR",0.12564431161055,0.0819863799330189,0.174228052666528
"M2","Empowering->BE->OCBS",0.153969395066703,0.0937743183237476,0.222818568089195
"M2","Empowering->BE->CWBS",-0.113071053953968,-0.170094728773973,-0.0618652890263377
"M2","Autocratic->ME->THR",-0.102084258020554,-0.151517276409768,-0.0572882678313935
"M2","Autocratic->ME->OCBS",-0.0972887553165122,-0.167164140350899,-0.0338111158471286
"M2","Autocratic->ME->CWBS",0.104433733260064,0.0474989674864103,0.166541799721469
"M2","Autocratic->ME->THR",-0.102249771373382,-0.15349887486818,-0.056364258585235
"M2","Autocratic->ME->OCBS",-0.0973388763012789,-0.166858076212258,-0.0331404478916305
"M2","Autocratic->ME->CWBS",0.104872123565109,0.048073149666212,0.167396834620852
"M2","Empowering->ME->THR",0.0711098475570856,0.0376677429318294,0.109698611392027
"M2","Empowering->ME->OCBS",0.0680696106969533,0.0232719019243512,0.118883402930863
"M2","Empowering->ME->CWBS",-0.0726630381142604,-0.11894943636208,-0.0321562932250386
"M2","Empowering->ME->THR",0.0706783278201156,0.0380708896410332,0.108186915307908
"M2","Empowering->ME->OCBS",0.0678911076937774,0.0234567199334718,0.119091108488376
"M2","Empowering->ME->CWBS",-0.0725613411893721,-0.119044366030685,-0.0322266622358047
"M3","Autocratic->BE->THR",-0.0985203981586405,-0.142782208773662,-0.0597344235775685
"M3","Autocratic->BE->OCBS",-0.15789664805495,-0.225946838693957,-0.0986948540528005
"M3","Autocratic->BE->CWBS",0.0322366559497026,-0.0159093620093131,0.0828247591596379
"M3","Autocratic->BE->THR",-0.0986764919404438,-0.144179353498576,-0.0598882653148525
"M3","Autocratic->BE->OCBS",-0.157641810133752,-0.226905945910464,-0.0978251753717519
"M3","Autocratic->BE->CWBS",0.0323274056105104,-0.0150956831015515,0.0835495362995901
"M3","Empowering->BE->THR",0.103913861281135,0.0645549408112997,0.149295163362905
"M3","Empowering->BE->OCBS",0.166788220433705,0.106144484033336,0.235652120028952
"M3","Empowering->BE->CWBS",-0.0340334649221987,-0.0872616347010516,0.0163194108480923
"M3","Empowering->BE->THR",0.104184350476121,0.0651620121678085,0.149269608883583
"M3","Empowering->BE->OCBS",0.167272675248338,0.106523304713755,0.236603059417473
"M3","Empowering->BE->CWBS",-0.0342281573887895,-0.0869435278932519,0.0165004077441535
"M3","Autocratic->ME->THR",-0.078355998556937,-0.122771709922089,-0.0377073041735981
"M3","Autocratic->ME->OCBS",-0.0869275468540407,-0.153027361361789,-0.0262572262367839
"M3","Autocratic->ME->CWBS",0.196346674798624,0.12940792290068,0.271482435645488
"M3","Autocratic->ME->THR",-0.0783236029029659,-0.123602960235649,-0.0372201496289101
"M3","Autocratic->ME->OCBS",-0.0869045935551799,-0.154157693202978,-0.0251553653292233
"M3","Autocratic->ME->CWBS",0.196688818330913,0.129078508580812,0.273128541422562
"M3","Empowering->ME->THR",0.0552355635210639,0.0257986427851636,0.089204256486703
"M3","Empowering->ME->OCBS",0.0615442967889987,0.0178177020186775,0.110618212772688
"M3","Empowering->ME->CWBS",-0.138480639314197,-0.198833261515471,-0.0859201253371201
"M3","Empowering->ME->THR",0.0549292376140597,0.0252414333152889,0.0896637971379056
"M3","Empowering->ME->OCBS",0.061227928961179,0.0176694610774065,0.111059549206725
"M3","Empowering->ME->CWBS",-0.138472515204012,-0.198701170105643,-0.0856814638090729
