"model","moderator","path","high","low","diff"
"M1","Narcissism","Autocratic->BE->THR",-0.134346960169759,-0.115511908640259,-0.0188350515294995
"M1","Narcissism","Autocratic->BE->OCBS",-0.171666793956813,-0.148522069624415,-0.0231447243323979
"M1","Narcissism","Autocratic->BE->CWBS",0.151896353755346,0.131222206457166,0.02067414729818
"M1","PowerDistance","Autocratic->BE->THR",-0.130165891220518,-0.119708733558296,-0.0104571576622218
"M1","PowerDistance","Autocratic->BE->OCBS",-0.166644358195213,-0.153108993662173,-0.0135353645330401
"M1","PowerDistance","Autocratic->BE->CWBS",0.147603523870149,0.135754773301158,0.0118487505689916
"M1","Narcissism","Empowering->BE->THR",0.136440886918738,0.122995008048411,0.0134458788703263
"M1","Narcissism","Empowering->BE->OCBS",0.174703951541066,0.157212618484757,0.0174913330563086
"M1","Narcissism","Empowering->BE->CWBS",-0.153843222541744,-0.138818858093802,-0.0150243644479417
"M1","PowerDistance","Empowering->BE->THR",0.0956934025103773,0.16351219486672,-0.0678187923563428
"M1","PowerDistance","Empowering->BE->OCBS",0.122267950739188,0.20892372166986,-0.0866557709306729
"M1","PowerDistance","Empowering->BE->CWBS",-0.108216399903296,-0.185051105299305,0.0768347053960086
"M1","Narcissism","Autocratic->ME->THR",-0.137582655738669,-0.131319607440758,-0.00626304829791104
"M1","Narcissism","Autocratic->ME->OCBS",-0.15990505952777,-0.152416711535948,-0.00748834799182132
"M1","Narcissism","Autocratic->ME->CWBS",0.1666812493469,0.158889741774114,0.00779150757278631
"M1","PowerDistance","Autocratic->ME->THR",-0.106953558582473,-0.162812315299253,0.0558587567167805
"M1","PowerDistance","Autocratic->ME->OCBS",-0.123409881079931,-0.188295181176165,0.0648853000962345
"M1","PowerDistance","Autocratic->ME->CWBS",0.128701841407888,0.196714738441621,-0.0680128970337324
"M1","Narcissism","Empowering->ME->THR",0.0719819376908941,0.0984835156028838,-0.0265015779119898
"M1","Narcissism","Empowering->ME->OCBS",0.0835092049478691,0.114284371302984,-0.0307751663551147
"M1","Narcissism","Empowering->ME->CWBS",-0.0865155711173531,-0.118561983517115,0.0320464123997623
"M1","PowerDistance","Empowering->ME->THR",0.08193509029375,0.0882281773837564,-0.00629308709000635
"M1","PowerDistance","Empowering->ME->OCBS",0.0950600944501157,0.102088819526622,-0.0070287250765059
"M1","PowerDistance","Empowering->ME->CWBS",-0.0991075758435305,-0.10657237004203,0.00746479419849965
"M2","Narcissism","Autocratic->BE->THR",-0.179153725491088,-0.156280188566021,-0.0228735369250667
"M2","Narcissism","Autocratic->BE->OCBS",-0.174791128871869,-0.153080860800808,-0.0217102680710618
"M2","Narcissism","Autocratic->BE->CWBS",0.151315514124716,0.132561466624439,0.0187540475002774
"M2","PowerDistance","Autocratic->BE->THR",-0.177024454656525,-0.159100526303923,-0.0179239283526022
"M2","PowerDistance","Autocratic->BE->OCBS",-0.172667825052365,-0.155132627882941,-0.0175351971694241
"M2","PowerDistance","Autocratic->BE->CWBS",0.149881767702583,0.134449462556032,0.0154323051465505
"M2","Narcissism","Empowering->BE->THR",0.18554365534222,0.165110883903771,0.0204327714384491
"M2","Narcissism","Empowering->BE->OCBS",0.181700174838456,0.161013214824544,0.0206869600139112
"M2","Narcissism","Empowering->BE->CWBS",-0.156778701658994,-0.139218050984741,-0.0175606506742524
"M2","PowerDistance","Empowering->BE->THR",0.128294526012725,0.222035319118381,-0.0937407931056556
"M2","PowerDistance","Empowering->BE->OCBS",0.125446430995706,0.217000363407504,-0.0915539324117982
"M2","PowerDistance","Empowering->BE->CWBS",-0.108418884995873,-0.187632002165959,0.079213117170086
"M2","Narcissism","Autocratic->ME->THR",-0.200769639364141,-0.189331001795947,-0.0114386375681943
"M2","Narcissism","Autocratic->ME->OCBS",-0.160715978069892,-0.151477169879569,-0.00923880819032357
"M2","Narcissism","Autocratic->ME->CWBS",0.166858973990597,0.157318337859959,0.00954063613063866
"M2","PowerDistance","Autocratic->ME->THR",-0.1520763470687,-0.238647594404937,0.0865712473362368
"M2","PowerDistance","Autocratic->ME->OCBS",-0.121402753895824,-0.190741177273905,0.0693384233780807
"M2","PowerDistance","Autocratic->ME->CWBS",0.126360780687019,0.198093079007896,-0.0717322983208769
"M2","Narcissism","Empowering->ME->THR",0.102275065144647,0.142947616569081,-0.0406725514244341
